citycode,cityname,lon,lat
110000,北京,116.46,39.92
120000,天津市,117.2,39.13
130100,石家庄市,114.48,38.03
130200,唐山市,118.02,39.63
130300,秦皇岛市,119.57,39.95
130400,邯郸市,114.47,36.6
130500,邢台市,114.48,37.05
130600,保定市,115.48,38.85
130700,张家口市,114.87,40.82
130800,承德市,117.93,40.97
130900,沧州市,116.83,38.33
131000,廊坊市,116.7,39.53
131100,衡水市,115.72,37.72
140100,太原市,112.53,37.87
140200,大同市,113.3,40.12
140300,阳泉市,113.57,37.85
140400,长治市,113.08,36.18
140500,晋城市,112.83,35.52
140600,朔州市,112.42,39.32
140700,晋中市,112.72,37.68
140800,运城市,110.97,35.03
140900,忻州市,112.7,38.38
141000,临汾市,111.5,36.08
141100,吕梁市,111.1441,37.519
150100,呼和浩特市,111.65,40.82
150200,包头市,110,40.58
150300,乌海市,106.82,39.67
150400,赤峰市,118.87,42.28
150500,通辽市,122.28,43.63
150600,鄂尔多斯市,110,39.83
150700,呼伦贝尔市,119.73,49.22
150800,巴彦淖尔市,107.3867,40.7662
150900,乌兰察布市,113.08,41.03
152200,兴安盟,122.03,46.03
152500,锡林郭勒盟,116.03,43.57
152900,阿拉善盟,105.683,38.817
210100,沈阳市,123.38,41.8
210200,大连市,121.62,38.92
210300,鞍山市,122.85,41.12
210400,抚顺市,123.97,41.97
210500,本溪市,123.73,41.3
210600,丹东市,124.37,40.13
210700,锦州市,121.15,41.13
210800,营口市,122.18,40.65
210900,阜新市,121.65,42
211000,辽阳市,123.17,41.28
211100,盘锦市,122.0707,41.12
211200,铁岭市,123.85,42.32
211300,朝阳市,120.42,41.58
211400,葫芦岛市,120.83,40.77
220100,长春市,125.35,43.88
220200,吉林市,126.57,43.87
220300,四平市,124.37,43.17
220400,辽源市,125.143,42.887
220500,通化市,125.92,41.49
220600,白山市,126.26,41.56
220700,松原市,124.8,45.3
220800,白城市,122.82,45.63
222400,延边朝鲜族自治州,129.52,42.93
230100,哈尔滨市,126.63,45.75
230200,齐齐哈尔市,123.97,47.33
230300,鸡西市,130.97,45.3
230400,鹤岗市,130.3,47.33
230500,双鸭山市,131.17,46.65
230600,大庆市,125.03,46.58
230700,伊春市,128.92,47.73
230800,佳木斯市,130.35,46.83
230900,七台河市,130.83,45.82
231000,牡丹江市,129.58,44.6
231100,黑河市,127.53,50.22
231200,绥化市,127,46.63
232700,大兴安岭地区,124.13156,50.427
310000,上海市,121.26,31.13
320100,南京市,118.78,32.04
320200,无锡市,120.29,31.59
320300,徐州市,117.2,34.26
320400,常州市,119.95,31.79
320500,苏州市,120.62,31.32
