province,city,station,lon,lat,Chinese-name
Beijjing,Beijjing,Beijing_Aotizhongxin,116.397,39.982,奥体中心
Beijjing,Beijjing,Beijing_Changping,116.234,40.217,昌平
Beijjing,Beijjing,Beijing_Dingling,116.22,40.292,定陵
Beijjing,Beijjing,Beijing_Dongsi,116.417,39.929,东四
Beijjing,Beijjing,Beijing_Guanyuan,116.339,39.929,官园
Beijjing,Beijjing,Beijing_Gucheng,116.184,39.914,古城
Beijjing,Beijjing,Beijing_Huairou,116.628,40.328,怀柔
Beijjing,Beijjing,Beijing_Nongzhanguan,116.461,39.937,农展馆
Beijjing,Beijjing,Beijing_Shunyi,116.655,40.127,顺义
Beijjing,Beijjing,Beijing_Tiantan,116.407,39.886,天坛
Beijjing,Beijjing,Beijing_Wanliu,116.287,39.987,万柳
Beijjing,Beijjing,Beijing_Wanshouxigong,116.352,39.878,万寿西宫
Tianjin,Tianjin,Tianjin_Beichen,117.228,39.227,北辰科技园区
Tianjin,Tianjin,Tianjin_Dazhigu,117.2452,39.11083,大直沽八号路
Tianjin,Tianjin,Tianjin_Disi,117.70715,39.03431667,第四大街
Tianjin,Tianjin,Tianjin_Hanbei,117.7641667,39.15875,汉北路
Tianjin,Tianjin,Tianjin_Hangtian,117.3747667,39.15106667,航天路
Tianjin,Tianjin,Tianjin_Qianjin,117.2016833,39.0927,前进路
Tianjin,Tianjin,Tianjin_Qinjian,117.1446333,39.16543333,勤俭路
Tianjin,Tianjin,Tianjin_Tuanpowa,117.1566333,38.91943333,团泊洼
Tianjin,Tianjin,Tianjin_Yongming,117.45735,38.83945,永明路
Tianjin,Tianjin,Tianjin_Yuejin,117.3145,39.08714,跃进路
Hebei,Baoding,Baoding_Dibiaoshuichang,115.461,38.842,地表水厂
Hebei,Baoding,Baoding_Huadianerqu,115.522,38.896,华电二区
Hebei,Baoding,Baoding_Jiancezhan,115.521,38.871,监测站
Hebei,Baoding,Baoding_Jiaopianchang,115.442,38.876,胶片厂
Hebei,Baoding,Baoding_Jiedaizhongxin,115.471,38.911,接待中心
Hebei,Baoding,Baoding_Youyongguan,115.493,38.863,游泳馆
Hebei,Cangzhou,Cangzhou_Cangxianchengjianju,116.885,38.299,沧县城建局
Hebei,Cangzhou,Cangzhou_Dianshizhuanbozhan,116.858,38.325,电视转播站
Hebei,Cangzhou,Cangzhou_Shihuanbaoju,116.871,38.323,市环保局
Hebei,Chengde,Chengde_Kaifaqu,117.963,40.936,开发区
Hebei,Chengde,Chengde_Ligong,117.932,40.984,离宫
Hebei,Chengde,Chengde_Tielu,117.966,40.916,铁路
Hebei,Chengde,Chengde_Wenhuazhongxin,117.818,40.973,文化中心
Hebei,Chengde,Chengde_Zhongguoyinhang,117.952,40.984,中国银行
Hebei,Handan,Handan_Congtaigongyuan,114.496,36.62,丛台公园
Hebei,Handan,Handan_Dongwushuichulichang,114.543,36.616,东污水处理厂
Hebei,Handan,Handan_Huanbaoju,114.513,36.618,环保局
Hebei,Handan,Handan_Kuangyuan,114.504,36.578,矿院
Hebei,Hengshui,Hengshui_Dianjibeichang,115.695,37.758,电机北厂
Hebei,Hengshui,Hengshui_Shihuanbaoju,115.69,37.739,市环保局
Hebei,Hengshui,Hengshui_Shijiancezhan,115.643,37.738,市监测站
Hebei,Langfang,Langfang_Beihuahangtianxueyuan,116.737,39.534,北华航天学院
Hebei,Langfang,Langfang_Kaifaqu,116.773,39.575,开发区
Hebei,Langfang,Langfang_Yaocaigongsi,116.684,39.518,药材公司
Hebei,Qinhuangdao,Qinhuangdao_Beidaihe,119.526,39.828,北戴河
Hebei,Qinhuangdao,Qinhuangdao_Diyiguan,119.762,40.018,第一关
Hebei,Qinhuangdao,Qinhuangdao_Jiancezhan,119.602,39.957,监测站
Hebei,Qinhuangdao,Qinhuangdao_Jianshedasha,119.537,39.942,建设大厦
Hebei,Qinhuangdao,Qinhuangdao_Shizhengfu,119.607,39.936,市政府
Hebei,Shijiazhuang,Shijiazhuang_Fenglongshan,114.354,37.91,封龙山
Hebei,Shijiazhuang,Shijiazhuang_Gaoxinqu,114.605,38.04,高新区
Hebei,Shijiazhuang,Shijiazhuang_Renminhuitang,114.521,38.052,人民会堂
Hebei,Shijiazhuang,Shijiazhuang_Shijigongyuan,114.542,38.031,世纪公园
Hebei,Shijiazhuang,Shijiazhuang_Xibeishuiyuan,114.502,38.14,西北水源
Hebei,Shijiazhuang,Shijiazhuang_Xinangaojiao,114.467,38.012,西南高教
Hebei,Shijiazhuang,Shijiazhuang_Zhigongyiyuan,114.455,38.051,职工医院
Hebei,Tangshan,Tangshan_Gongxiaoshe,118.166,39.631,供销社
Hebei,Tangshan,Tangshan_Leidazhan,118.144,39.643,雷达站
Hebei,Tangshan,Tangshan_Shierzhong,118.184,39.658,十二中
